,Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
69,Spider-Man 2,2004,93,100.947,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",Stan Lee's all-too-human superhero returns to the screen in this highly anticipated sequel to 2002's blockbuster hit Spider-Man. Peter Parker...,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
70,13 Assassins,2011,95,98.512,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","Cult director Takeshi Miike (Ichi the Killer, Audition) delivers a bravado period action film set at the end of Japan's...",Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
71,Full Contact,1992,88,61.021,No consensus yet.,"Another entry into the ""cheer for the most likeable bad guy"" series of Hong Kong action flicks, Full Contact tells...",Ringo Lam,"Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wong"
72,Indiana Jones and the Last Crusade,1989,89,94.324,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.","The third installment in the Spielberg/Lucas Indiana Jones saga, Indiana Jones and the Last Crusade evokes many of the thrills...",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"
73,Kung Fu Hustle,2005,90,96.208,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.","The work of international superstar Stephen Chow, Kung Fu Hustle is a humorous, special-effects-filled, action-packed martial arts epic set in...",Stephen Chow,"Stephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Chan"
74,A Better Tomorrow,2010,93,44.121,No consensus yet.,"John Woo established himself as one of Hong Kong's premiere action directors with this ultra-hip, ultra-violent action classic. The film...",Hae-sung Song,"Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I"
75,Iron Man,2008,94,104.685,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","Billionaire industrialist and genius inventor Tony Stark is kidnapped and forced to build a devastating weapon. Instead, using his intelligence...",,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow"
76,The Night Comes For Us,2018,90,90.412,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","The Night Comes For Us follows Ito (played by Joe Taslim), a former triad enforcer, and his mission to protect...",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
77,Logan,2017,93,110.77,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout...",James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant"
78,Goldfinger,1964,98,104.435,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.","To many, the quintessential Bond film and a brilliant third entry in the series. Here Bond gets his Aston Martin,...",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
79,Assault on Precinct 13,1976,98,102.184,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Cops, secretaries, and prisoners stuck in a soon-to-be-shuttered L.A. police station fight off a horde of murderous gang members in...",John Carpenter,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer"
80,Wonder Woman,2017,93,112.606,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a...,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
81,Fist of Fury (Jing wu men),1972,92,92.794,No consensus yet.,Bruce Lee stars as a martial arts expert who vows vengeance when his kung fu master is murdered. He discovers...,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker"
82,Captain America: The Winter Soldier,2014,90,101.817,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into...",Joe Russo,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie"
83,Oldboy,2005,82,86.636,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",South Korean filmmaker Park Chan-wook directed this violent and offbeat story of punishment and vengeance. Oh Dae-su (Choi Min-sik) is...,Park Chan-wook,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung"
84,The French Connection,1971,98,104.479,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","This gritty, fast-paced, and innovative police drama earned five Academy Awards, including Best Picture, Best Adapted Screenplay (written by Ernest...",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi"
